u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ebc,maxspeed,ref,bridge,tunnel,width,access,junction,est_width
582438,260685848,0,244739161,True,3,Avenida Mário de Andrade,tertiary,False,142.764,"LINESTRING (-46.6619198 -23.528187, -46.6615708 -23.5284889, -46.6614736 -23.528578, -46.6613965 -23.5286641, -46.6613274 -23.5287526, -46.661147 -23.5290025, -46.6610833 -23.5290867, -46.6610223 -23.5291642)",0.0011103505898087094,,,,,,,,
587993,459347433,0,"[780219126, 38738766]",True,"['3', '2']",,trunk_link,False,152.679,"LINESTRING (-46.6382561 -23.55821, -46.6381514 -23.5581341, -46.6380828 -23.5580823, -46.6380256 -23.5580119, -46.6379741 -23.5579463, -46.6379195 -23.5578317, -46.6378761 -23.5577234, -46.6375881 -23.5570105)",0.0079339518300976,40,,,,,,,
587993,176011687,0,"[252274186, 524259148, 524259149]",True,5,Avenida Vinte e Três de Maio,trunk,False,298.798,"LINESTRING (-46.6382561 -23.55821, -46.6379244 -23.5573847, -46.6375529 -23.5564604, -46.6373262 -23.5558954, -46.6372986 -23.5558267, -46.6372329 -23.5556922)",0.029552074375494092,60,,,,,,,
597269,8743354162,0,858472816,True,3,Avenida Teresa Cristina,secondary,False,8.333,"LINESTRING (-46.608044 -23.5689779, -46.6080255 -23.5689049)",0.0021935810004854823,50,SP-160,,,,,,
597269,26359231,0,945566055,True,3,Avenida do Estado,trunk,False,34.336,"LINESTRING (-46.608044 -23.5689779, -46.6079448 -23.5690295, -46.607751 -23.5691303)",0.0019177277830940687,50,BR-050,,,,,,
597270,1417111800,0,128190711,True,2,Rua Presidente Batista Pereira,secondary,False,45.075,"LINESTRING (-46.6078851 -23.5685427, -46.6078394 -23.568394, -46.6078086 -23.5683319, -46.6077617 -23.5682889, -46.6076456 -23.5682295)",0.0013556637919052486,50,,,,,,,
597270,1417145837,0,1031681178,True,3,Avenida do Estado,trunk,False,152.89100000000002,"LINESTRING (-46.6078851 -23.5685427, -46.6082324 -23.5683442, -46.608445 -23.5682059, -46.6085597 -23.5681228, -46.6086622 -23.5680326, -46.6087729 -23.5679054, -46.6088909 -23.567756, -46.6089808 -23.5676313)",0.005302182163261011,50,BR-050,,,,,,
597282,130009702,0,"[944406432, 8213521, 858017730]",True,"['1', '2']",Viaduto do Rio Tamanduateí,trunk_link,False,511.15900000000005,"LINESTRING (-46.6261325 -23.5510876, -46.626125 -23.5509374, -46.6261146 -23.5508726, -46.6260986 -23.5508246, -46.6260785 -23.550789, -46.6260342 -23.5507404, -46.6259842 -23.5507037, -46.6259211 -23.5506716, -46.6258644 -23.5506566, -46.6257943 -23.5506525, -46.6257115 -23.5506665, -46.6256482 -23.5506896, -46.625601 -23.5507189, -46.6255601 -23.5507507, -46.6255227 -23.5507917, -46.625503 -23.5508329, -46.6254773 -23.5509171, -46.6254744 -23.5509897, -46.6254986 -23.5510949, -46.6255686 -23.5512482, -46.6258813 -23.5518567, -46.6261851 -23.5524689, -46.6263135 -23.5527344, -46.6265251 -23.5531863, -46.6269036 -23.5539279, -46.6269465 -23.5540321, -46.6269934 -23.5541793)",0.07387932587444591,40,,yes,,,,,
597282,25872025,0,"[944404757, 974489742]",True,2,Avenida do Estado,trunk,False,121.232,"LINESTRING (-46.6261325 -23.5510876, -46.6263325 -23.5506556, -46.6264025 -23.5505044, -46.6264968 -23.5503526, -46.6266488 -23.5501074)",0.010213028590546706,50,,,,,,,
597283,445043546,0,37916481,True,,Rua da Figueira,residential,False,78.114,"LINESTRING (-46.6252641 -23.5533268, -46.625198 -23.5531056, -46.6250992 -23.5526412)",0.0001230035876971351,20,,,,,,,
597283,25871833,0,1080789231,True,3,Avenida do Estado,primary,False,123.645,"LINESTRING (-46.6252641 -23.5533268, -46.6253476 -23.5531568, -46.6254012 -23.553051, -46.6254468 -23.5529601, -46.6254938 -23.5528494, -46.625526 -23.5527609, -46.6255604 -23.5526485, -46.6255814 -23.5525341, -46.6256216 -23.5522727)",0.018124888845768128,50,,,,,,,
597426,2934921749,0,"[944018225, 1133010477]",True,4,Avenida Cruzeiro do Sul,primary,False,108.74000000000001,"LINESTRING (-46.6253024 -23.5252524, -46.6252799 -23.5246174, -46.6252735 -23.5243403, -46.6252716 -23.5242749)",0.0027254991650296012,50,,,,,,,
597434,25778137,0,945246227,True,3,Avenida Presidente Castelo Branco,trunk,False,37.104,"LINESTRING (-46.6129726 -23.5230076, -46.6126896 -23.5232174)",0.0029861550852746887,60,,,,,,,
597434,2350164848,0,226165403,True,2,,trunk_link,False,179.85499999999996,"LINESTRING (-46.6129726 -23.5230076, -46.612808 -23.523068, -46.6125541 -23.5231922, -46.6123322 -23.5233053, -46.6120479 -23.5234332, -46.6115701 -23.5236038, -46.6113545 -23.5236097)",0.0008016745974795156,60,,,,,,,
